"","MaxOfState..Division","MaxOfTownship"
"1","KACHIN","MYITKYINA"
"613","KACHIN","BHAMO"
"1318","KACHIN","MOMAUK"
"1587","KACHIN","MANSI"
"1849","KAYAH","LOIKAW"
"2440","KAYAH","DEMOSO"
"3632","KAYAH","HPRUSO"
"4717","KAYAH","SHADAW"
"5043","KAYAH","BAWLAKHE"
"5540","KAYAH","HPASAWNG"
"6349","KAYAH","MESE"
"6896","KAYIN","HPA-AN"
"9935","KAYIN","HLAINGBWE"
"13763","KAYIN","HPAPUN"
"14721","KAYIN","THANDAUNGGYI"
"16101","KAYIN","MYAWADDY"
"18923","KAYIN","KAWKAREIK"
"22736","KAYIN","KYAINSEIKGYI"
"29119","TANINTHARYI","DAWEI"
"31182","TANINTHARYI","LAUNGLON"
"32210","TANINTHARYI","THAYETCHAUNG"
"34443","TANINTHARYI","YEBYU"
"35903","TANINTHARYI","MYEIK"
"37753","TANINTHARYI","KYUNSU"
"39417","TANINTHARYI","PALAW"
"41609","TANINTHARYI","TANINTHARYI"
"43121","TANINTHARYI","KAWTHOUNG"
"44151","TANINTHARYI","BOKPYIN"
"45190","BAGOEAST","BAGO"
"46024","BAGOEAST","WAW"
"46038","BAGOEAST","NYAUNGLEBIN"
"47062","BAGOEAST","KYAUKTAGA"
"47507","BAGOEAST","DAIK-U"
"47882","BAGOEAST","SHWEGYIN"
"48167","BAGOEAST","TAUNGOO"
"49633","BAGOEAST","YEDASHE"
"50418","BAGOEAST","KYAUKKYI"
"50648","BAGOEAST","PHYU"
"51292","BAGOEAST","OKTWIN"
"51650","BAGOEAST","HTANTABIN"
"52677","MON","MAWLAMYINE"
"53260","MON","KYAIKMARAW"
"55597","MON","CHAUNGZON"
"56296","MON","THANBYUZAYAT"
"57687","MON","MUDON"
"59367","MON","YE"
"63089","MON","THATON"
"67331","MON","PAUNG"
"68579","MON","KYAIKTO"
"71217","MON","BILIN"
"76521","KAYIN","HLAING BWE"
